WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
351,Imeni Morozova,RU,59.9757,31.0376,41.02,77,94,4.14,overcast clouds
352,Kavieng,PG,-2.5744,150.7967,85.19,69,87,10.92,overcast clouds
353,Whitehorse,CA,60.7161,-135.0538,27.37,33,20,10.36,few clouds
354,Hobyo,SO,5.3505,48.5268,84.96,65,28,9.62,scattered clouds
355,Paramonga,PE,-10.6667,-77.8333,66.13,87,99,6.15,overcast clouds
356,Ilulissat,GL,69.2167,-51.1,-0.8,99,100,1.72,overcast clouds
357,Brainerd,US,46.358,-94.2008,30.49,55,100,17.27,overcast clouds
358,Kristiinankaupunki,FI,62.2743,21.376,34.3,98,100,9.06,light snow
359,Venice,US,27.0998,-82.4543,74.98,87,20,11.5,haze
360,Tilichiki,RU,60.4667,166.1,23.88,89,100,6.62,overcast clouds
361,San Andres,CO,12.5847,-81.7006,80.62,78,20,12.66,few clouds
362,Coquimbo,CL,-29.9533,-71.3436,55.13,100,100,2.3,overcast clouds
363,Camacha,PT,33.0833,-16.3333,58.42,72,40,9.22,scattered clouds
364,Predivinsk,RU,57.0669,93.4378,46.74,38,41,6.98,scattered clouds
365,Vanimo,PG,-2.6741,141.3028,85.14,69,75,7.9,broken clouds
366,Haines Junction,CA,60.7522,-137.5108,26.55,43,22,2.3,few clouds
367,Myitkyina,MM,25.3833,97.4,98.83,29,85,3.8,moderate rain
368,Bubaque,GW,11.2833,-15.8333,74.88,70,87,10.45,overcast clouds
369,Grand-Santi,GF,4.25,-54.3833,70.56,100,76,2.1,broken clouds
370,Nanortalik,GL,60.1432,-45.2371,32.59,87,99,5.44,overcast clouds
371,Sioux Lookout,CA,50.1001,-91.917,26.67,93,100,14.97,overcast clouds
372,Rawson,AR,-43.3002,-65.1023,58.33,44,8,10.04,clear sky
373,Carauari,BR,-4.8828,-66.8958,73.33,97,100,0.58,light rain
374,Mabaruma,GY,8.2,-59.7833,71.87,94,10,3.33,clear sky
375,Monrovia,LR,6.3005,-10.7969,77.83,89,100,8.19,overcast clouds
376,Mindelo,CV,16.8901,-24.9804,67.55,68,20,19.57,few clouds
377,Tiznit,MA,29.5833,-9.5,56.25,73,1,2.3,clear sky
378,Peace River,CA,56.2501,-117.286,19.71,57,20,11.5,few clouds
379,Morgan City,US,29.6994,-91.2068,65.01,100,100,8.05,thunderstorm
380,Coffs Harbour,AU,-30.3,153.1333,69.76,68,40,12.66,scattered clouds
381,Woodward,US,36.4337,-99.3904,40.12,44,0,5.75,clear sky
382,Monterey,US,36.2505,-121.2516,46.18,81,10,6.89,clear sky
383,Mattru,SL,7.6244,-11.8332,75.78,93,100,2.1,overcast clouds
384,Kandrian,PG,-6.2167,149.55,85.93,67,95,5.79,overcast clouds
385,Diamantino,BR,-14.4086,-56.4461,72.09,94,56,2.68,broken clouds
386,Awash,ET,8.9833,40.1667,79.84,47,99,1.23,overcast clouds
387,Nome,US,64.5011,-165.4064,33.87,80,100,14.97,overcast clouds
388,Kaihua,CN,23.3687,104.28,80.65,42,28,15.21,scattered clouds
389,Puri,IN,19.8,85.85,93.72,72,35,22.01,scattered clouds
390,Topolobampo,MX,25.6,-109.05,66.97,69,97,11.63,overcast clouds
